251
0 8
c2729 0 1518.11
c2731 0 2789.68
c2732 0 1677.45
c2736 0 1448.28
c2739 0 1729.9
c2742 0 1953.51
c2744 0 2233.11
c2748 0 1508.41
c2749 0 2356.78
c2752 0 2059.43
c2753 0 2070.04
c2754 0 2146.85
c2756 0 1993.44
c2758 0 2473.31
c2759 0 1876.86
c2761 0 1760.01
c2762 0 2072.49
c2763 0 1992.61
c2764 0 2767.31
c2765 0 1492.34
c2766 0 2105.9
c2767 0 1829.19
c2772 0 2072.49
c2776 0 2809.38
c2779 0 1895.73
c2781 0 1764.31
c2785 0 1747.43
c2786 0 2204.02
c2788 0 1988.54
c2792 0 2136.49
c2795 0 2174.9
c2796 0 1708.65
c2799 0 1758.55
c2803 0 2823.38
c2805 0 2260.01
c2809 0 1959.24
c2813 0 1909.93
c2814 0 2503.6
c2818 0 2536.02
c2820 0 2430.75
c2821 0 2342.24
c2828 0 3544.71
c2829 0 2105.92
c2835 0 2270.04
c2836 0 1636.99
c2841 0 2553.21
c2842 0 2919.93
c2843 0 2607.32
c2850 0 1943.3
c2851 0 2335.41
c2855 0 2358.81
c2857 0 2205.23
c2861 0 2782.71
c2862 0 2888.28
c2864 0 2609.99
c2872 0 2037.62
c2873 0 2778.69
c2875 0 3576.99
c2879 0 2361.72
c2880 0 3191.27
c2882 0 2334.8
c2884 0 3314.19
c2886 0 2640.4
c2888 0 1690.99
c2890 0 2865.69
c2892 0 2862.49
c2897 0 3274.62
c2898 0 2526.72
c2901 0 2316.04
c2907 0 2731.71
c2912 0 2304.03
c2914 0 3587.98
c2928 0 2751.93
c2929 0 3471.95
c2930 0 2718.04
c2936 0 3096.6
c2937 0 2890.03
c2938 0 3431.26
c2939 0 2768.92
c2940 0 2342.59
c2941 0 3261.93
c2942 0 3523.33
c2943 0 3086.43
c2946 0 3250.37
c2947 0 3997
c2953 0 2600.34
c2956 0 3837.39
c2958 0 3143.37
c2959 0 3331.46
c2960 0 3246.5
c2962 0 3712.48
c2964 0 3775.1
c2967 0 3128.05
c2968 0 3113.89
c2969 0 2997.53
c2978 0 3334.45
c2980 0 3676.42
c2981 0 2830.95
c2982 0 3205.7
c2985 0 3997
c2988 0 3395.53
c2989 0 3301.84
c2990 0 2877.31
c2991 0 2578.84
c2992 0 3400.29
c2996 0 3881.9
c2997 0 3184.81
c2998 0 3496.04
c3000 0 3994
c3001 0 3419.87
c3002 0 3927.21
c3003 0 2874.5
c3006 0 3375.17
c3007 0 3899.26
c3010 0 3808.04
c3011 0 3310.65
c3013 0 3283.44
c3014 0 3994
c3016 0 3997
c3017 0 3453.06
c3019 0 3184.2
c3021 0 3516.93
c3022 0 3997
c3023 0 3392.4
c3028 0 3278.74
c3029 0 3520.24
c3030 0 2646.6
c3033 0 3671.73
c3037 0 3738.72
c3038 0 3878.81
c3040 0 3994
c3047 0 3997
c3049 0 3231.06
